R,G,B
144.1399165307493,143.03712942530942,141.7140170776168
144.14623969459058,143.06264537881222,141.6383670572211
144.1544732210932,143.0332212850231,141.84851899626452
144.08632280012458,142.93513811360532,141.5448839270741
144.11064819254003,143.0281235017739,141.77177102310864
144.17222017276154,143.00347822754125,141.5324850163132
144.07903593893832,143.0510653191163,141.8533148588524
144.15193646868246,143.07312140251997,141.66612989029633
144.07815060812558,142.96340224464956,141.8083997048027
144.15656681806857,143.00750780965524,141.5800465704594
144.06557455619034,142.97150224301217,141.75816686476745
144.21626972712804,143.0321195037297,141.53196130318895
144.0693519064819,142.84099139936586,141.75670230677355
144.12037916055348,142.90885858673033,141.50697141432448
144.05962422393029,142.83344848432506,141.6437564172688
144.06426665005534,142.81724830253052,141.41826510711908
144.05468720033753,142.81496202677303,141.6831536956772
144.11281979991082,142.76748143638517,141.44582875934174
144.04457313243944,142.811089112708,141.62918682077267
144.05257732947246,142.6700673097206,141.34227280572227
143.989990604207,142.72207627849895,141.56981170063852
144.14282838449924,142.8316294006279,141.35410645385485
144.05402735416547,142.77758915040954,141.49664307226027
144.1290426210329,142.81064351094895,141.36469775938704
143.98735311595453,142.7237142254682,141.55563862211744
144.13021345131557,142.7443281772034,141.35705280918805
143.9962160814142,142.63683493674284,142.54224656377988
144.0348294503365,142.63795311623088,142.18333309349413
144.06902772912878,142.69484523221166,142.6125935060386
143.96623436420842,142.55261971452688,142.25683945974984
143.98525618281374,142.63857270260164,142.428793356412
143.98414851599048,142.5535077459928,142.2177553876831
143.9772661911883,142.61278231527282,142.4983032324859
144.01988524605892,142.57561190907958,142.26360784087964
144.06543921171678,142.67415676435456,142.61438789559278
143.91259790434376,142.53831810643172,142.1859918896377
144.020118842651,142.64456071861918,142.58132664463744
143.97531106902255,142.51643930857568,142.2590443767831
144.00082000230177,142.61572582192045,142.53063260060614
144.04097814147363,142.59583071513885,142.31037476556168
143.96550649300826,142.67962231216313,142.48329273205073
144.00231040978616,142.62159610010497,142.21415868968128
143.98439456376258,142.65101965431057,142.43858327776525
143.99186769794034,142.5625425304542,142.23699646338306
144.0065664196465,142.55384799865698,142.40209127754994
144.03785437526375,142.5848678405647,142.20828058464724
143.99149628052203,142.62466126610934,142.40051895231107
144.09703710806406,142.59980343273563,142.2289960686547
143.8803676713985,142.52104851592972,142.32367940051907
144.03475929416618,142.58522909861816,142.20469468706082
143.96728313391625,142.55217920693357,142.34305971007822
144.09562781237108,142.60733303270746,142.29137843361124
143.95301916840955,142.52623424218586,142.49490089606078
144.0428626228722,142.49831215535843,142.20355310477103
143.9762129706451,142.48149551355525,142.32587750639036
143.91017605397582,142.32939919304602,142.04957208437557
143.84091279465474,142.22256199852373,142.2648801250036
143.8373260816391,142.1696954000662,141.80758550236686
143.888388618775,142.15364845555587,142.0659685261371
143.77451507070086,142.02573338961264,141.66106751597246
143.88194137646224,142.1458049211502,141.98434528725917
143.83958803476256,141.89179430546886,142.9811398665194
143.76806439535756,141.81382657028482,143.21010089374
143.8199540954009,141.79055786572425,142.94835732600907
143.75993394967503,141.70802492247728,142.95255512994058
143.87395418087507,141.7816483358148,142.8413957062581
143.67467414586355,141.6327909634909,142.9184428158408
143.90256434882826,141.71964079907798,142.81484344986555
